SNO,Brand,Model,Variant,Product Description, Price
1,Apple,"MacBook 12"" 2016",Intel Core m3 1.1GHz 256GB,"Apple MacBook 12"" 2016 Intel Core m3 1.1GHz 256GB",$21 
2,Apple,"MacBook 12"" 2016",Intel Core m5 1.2GHz 512GB,"Apple MacBook 12"" 2016 Intel Core m5 1.2GHz 512GB",$21 
3,Apple,"MacBook 12"" 2016",Intel Core m7 1.3Ghz 256GB,"Apple MacBook 12"" 2016 Intel Core m7 1.3Ghz 256GB",$21 
4,Apple,"MacBook 12"" 2016",Intel Core m7 1.3Ghz 512GB,"Apple MacBook 12"" 2016 Intel Core m7 1.3Ghz 512GB",$21 
5,Apple,"MacBook 12"" 2017",Intel Core i5 1.3Ghz 512GB,"Apple MacBook 12"" 2017 Intel Core i5 1.3Ghz 512GB",$30 
6,Apple,"MacBook 12"" 2017",Intel Core i7 1.4GHz 256GB,"Apple MacBook 12"" 2017 Intel Core i7 1.4GHz 256GB",$30 
7,Apple,"MacBook 12"" 2017",Intel Core i7 1.4GHz 512GB,"Apple MacBook 12"" 2017 Intel Core i7 1.4GHz 512GB",$30 
8,Apple,"MacBook 12"" 2017",Intel Core m3 1.2GHz 256GB,"Apple MacBook 12"" 2017 Intel Core m3 1.2GHz 256GB",$30 
9,Apple,"MacBook Air 13"" 2017",Intel Core i5 1.8GHz 128GB,"Apple MacBook Air 13"" 2017 Intel Core i5 1.8GHz 128GB",$40 
10,Apple,"MacBook Air 13"" 2017",Intel Core i5 1.8GHz 256GB,"Apple MacBook Air 13"" 2017 Intel Core i5 1.8GHz 256GB",$40 
11,Apple,"MacBook Air 13"" 2017",Intel Core i5 1.8GHz 512GB,"Apple MacBook Air 13"" 2017 Intel Core i5 1.8GHz 512GB",$40 
12,Apple,"MacBook Air 13"" 2017",Intel Core i5 2.2GHz 128GB,"Apple MacBook Air 13"" 2017 Intel Core i5 2.2GHz 128GB",$40 
